Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
NSGA2,1,400,295,400,11.749532,0.013383754364249758,0.02137166299060126,0.8543355918323605,0.0036371118153516735,1.953792887024672e-05
NSGA2,1,400,300,400,11.955259999999999,0.013077730871965464,0.021882663651975356,0.8544958587171977,0.003130726041992155,1.4456707002294464e-05
NSGA2,1,400,305,400,11.800106,0.01272360428555468,0.021173297601788987,0.8546954247980949,0.003374665940977004,1.6608641854737336e-05
NSGA2,1,400,310,400,12.403259,0.012439061160286796,0.02105111609402898,0.8560745459897248,0.003415719258137597,1.675257173962851e-05
NSGA2,1,400,315,400,12.289677,0.012585824641157383,0.02195023589416284,0.858360018796835,0.0030558885658485777,1.3463761912642747e-05
NSGA2,1,400,320,400,12.719421,0.01246218061211813,0.021853786136694784,0.8587892669893886,0.003144478787878676,1.4248620929265873e-05
NSGA2,1,400,325,400,12.815869,0.012327183654682211,0.02096290422930424,0.8606717851322205,0.003423209267693456,1.6846781866529556e-05
NSGA2,1,400,330,400,13.874576,0.01243732531957286,0.021071049090437364,0.8608827885882755,0.003390266252621002,1.634755679703376e-05
NSGA2,1,400,335,400,13.021382,0.012376859503699912,0.020610380049942013,0.8611390742463194,0.0035650765462948895,1.8076858556997633e-05
NSGA2,1,400,340,400,12.544033,0.012213008421178152,0.02070413150462998,0.8612378850707123,0.0035855906430501457,1.8285492135204298e-05
